EventTime,EventType,Event
0.0,AGENT_TYPE,ExchangeAgent
1.612483200000009e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1950)
1.612483200000009e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1951)
1.6124832000000161e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2136)
1.6124832000000161e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2137)
1.6124832000000266e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1578)
1.6124832000000266e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1579)
1.6124832000000292e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2400)
1.6124832000000292e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2401)
1.612483200000034e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1432)
1.612483200000034e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1433)
1.612483200000043e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2152)
1.612483200000043e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2153)
1.612483200000057e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=3128)
1.612483200000057e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=3129)
1.6124832000000637e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1396)
1.6124832000000637e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1397)
1.6124832000000643e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2822)
1.6124832000000643e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2823)
1.6124832000000696e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1858)
1.6124832000000696e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1859)
1.6124832000000806e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2404)
1.6124832000000806e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2405)
1.6124832000000893e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2650)
1.6124832000000893e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2651)
1.6124832000000904e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2552)
1.6124832000000904e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2553)
1.612483200000094e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2484)
1.612483200000094e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2485)
1.6124832000001206e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2902)
1.6124832000001206e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2903)
1.61248320000013e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1298)
1.61248320000013e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1299)
1.61248320000016e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2664)
1.61248320000016e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2665)
1.6124832000001672e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2148)
1.6124832000001672e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2149)
1.612483200000168e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2134)
1.612483200000168e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2135)
1.6124832000001692e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1470)
1.6124832000001692e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1471)
1.6124832000001777e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2600)
1.6124832000001777e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2601)
1.6124832000001784e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1842)
1.6124832000001784e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1843)
1.6124832000001807e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1688)
1.6124832000001807e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1689)
1.6124832000001818e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=3276)
1.6124832000001818e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=3277)
1.6124832000001846e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2126)
1.6124832000001846e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2127)
1.6124832000001987e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2698)
1.6124832000001987e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2699)
1.612483200000199e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1780)
1.612483200000199e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1781)
1.6124832000002053e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2248)
1.6124832000002053e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2249)
1.6124832000002112e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2060)
1.6124832000002112e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2061)
1.612483200000219e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1336)
1.612483200000219e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1337)
1.6124832000002237e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=3264)
1.6124832000002237e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=3265)
1.6124832000002337e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1510)
1.6124832000002337e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1511)
1.6124832000002353e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2872)
1.6124832000002353e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2873)
1.6124832000002445e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=3054)
1.6124832000002445e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=3055)
1.6124832000002486e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1338)
1.6124832000002486e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1339)
1.612483200000262e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1886)
1.612483200000262e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1887)
1.6124832000002627e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1334)
1.6124832000002627e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1335)
1.6124832000002683e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1632)
1.6124832000002683e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1633)
1.6124832000002724e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2416)
1.6124832000002724e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2417)
1.612483200000288e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1456)
1.612483200000288e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1457)
1.6124832000003039e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2438)
1.6124832000003039e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2439)
1.612483200000306e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1446)
1.612483200000306e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1447)
1.61248320000031e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=3278)
1.61248320000031e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=3279)
1.6124832000003254e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2936)
1.6124832000003254e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2937)
1.6124832000003366e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2536)
1.6124832000003366e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2537)
1.6124832000003382e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2614)
1.6124832000003382e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2615)
1.612483200000345e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=3268)
1.612483200000345e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=3269)
1.6124832000003538e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2516)
1.6124832000003538e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2517)
1.6124832000003546e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1250)
1.6124832000003546e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1251)
1.612483200000356e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1244)
1.612483200000356e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1245)
1.612483200000358e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2770)
1.612483200000358e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2771)
1.6124832000003625e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2118)
1.6124832000003625e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2119)
1.6124832000003692e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1954)
1.6124832000003692e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1955)
1.6124832000003748e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2220)
1.6124832000003748e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2221)
1.6124832000003776e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=3280)
