EventTime,EventType,Event
0,AGENT_TYPE,MomentumAgent
0,STARTING_CASH,10000000
1612483200000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
1612483234207129759,BID_DEPTH,[]
1612483234207129759,ASK_DEPTH,[]
1612483234207129759,IMBALANCE,"[0, 0]"
1612483234216262447,BID_DEPTH,[]
1612483234216262447,ASK_DEPTH,[]
1612483234216262447,IMBALANCE,"[0, 0]"
1612483234219359668,BID_DEPTH,[]
1612483234219359668,ASK_DEPTH,[]
1612483234219359668,IMBALANCE,"[0, 0]"
1612483234262937331,BID_DEPTH,[]
1612483234262937331,ASK_DEPTH,[]
1612483234262937331,IMBALANCE,"[0, 0]"
1612483234285405054,BID_DEPTH,[]
1612483234285405054,ASK_DEPTH,[]
1612483234285405054,IMBALANCE,"[0, 0]"
1612483234293205825,BID_DEPTH,"[(100011, 400)]"
1612483234293205825,ASK_DEPTH,[]
1612483234293205825,IMBALANCE,"[400, 0]"
1612483234374259822,BID_DEPTH,[]
1612483234374259822,ASK_DEPTH,"[(100011, 200)]"
1612483234374259822,IMBALANCE,"[0, 200]"
1612483234404561683,BID_DEPTH,[]
1612483234404561683,ASK_DEPTH,"[(100011, 100)]"
1612483234404561683,IMBALANCE,"[0, 100]"
1612483234423735194,BID_DEPTH,[]
1612483234423735194,ASK_DEPTH,[]
1612483234423735194,IMBALANCE,"[0, 0]"
1612483234430791237,BID_DEPTH,[]
1612483234430791237,ASK_DEPTH,[]
1612483234430791237,IMBALANCE,"[0, 0]"
1612483234433699848,BID_DEPTH,[]
1612483234433699848,ASK_DEPTH,[]
1612483234433699848,IMBALANCE,"[0, 0]"
1612483234472860627,BID_DEPTH,[]
1612483234472860627,ASK_DEPTH,[]
1612483234472860627,IMBALANCE,"[0, 0]"
1612483234507055562,BID_DEPTH,[]
1612483234507055562,ASK_DEPTH,[]
1612483234507055562,IMBALANCE,"[0, 0]"
1612483234521452627,BID_DEPTH,[]
1612483234521452627,ASK_DEPTH,[]
1612483234521452627,IMBALANCE,"[0, 0]"
1612483234524155990,BID_DEPTH,[]
1612483234524155990,ASK_DEPTH,[]
1612483234524155990,IMBALANCE,"[0, 0]"
1612483234564679641,BID_DEPTH,[]
1612483234564679641,ASK_DEPTH,[]
1612483234564679641,IMBALANCE,"[0, 0]"
1612483234600728351,BID_DEPTH,[]
1612483234600728351,ASK_DEPTH,[]
1612483234600728351,IMBALANCE,"[0, 0]"
1612483234611470139,BID_DEPTH,[]
1612483234611470139,ASK_DEPTH,[]
1612483234611470139,IMBALANCE,"[0, 0]"
1612483234620185202,BID_DEPTH,[]
1612483234620185202,ASK_DEPTH,[]
1612483234620185202,IMBALANCE,"[0, 0]"
1612483234651885347,BID_DEPTH,[]
1612483234651885347,ASK_DEPTH,[]
1612483234651885347,IMBALANCE,"[0, 0]"
1612483234654234431,BID_DEPTH,[]
1612483234654234431,ASK_DEPTH,[]
1612483234654234431,IMBALANCE,"[0, 0]"
1612483234738145929,BID_DEPTH,[]
1612483234738145929,ASK_DEPTH,[]
1612483234738145929,IMBALANCE,"[0, 0]"
1612483234745351028,BID_DEPTH,[]
1612483234745351028,ASK_DEPTH,[]
1612483234745351028,IMBALANCE,"[0, 0]"
1612483234903094293,BID_DEPTH,[]
1612483234903094293,ASK_DEPTH,[]
1612483234903094293,IMBALANCE,"[0, 0]"
1612483234906693011,BID_DEPTH,[]
1612483234906693011,ASK_DEPTH,[]
1612483234906693011,IMBALANCE,"[0, 0]"
1612483234924966510,BID_DEPTH,[]
1612483234924966510,ASK_DEPTH,[]
1612483234924966510,IMBALANCE,"[0, 0]"
1612483234926967283,BID_DEPTH,[]
1612483234926967283,ASK_DEPTH,[]
1612483234926967283,IMBALANCE,"[0, 0]"
1612483235002162423,BID_DEPTH,[]
1612483235002162423,ASK_DEPTH,[]
1612483235002162423,IMBALANCE,"[0, 0]"
1612483235037241213,BID_DEPTH,[]
1612483235037241213,ASK_DEPTH,[]
1612483235037241213,IMBALANCE,"[0, 0]"
1612483235091087569,BID_DEPTH,[]
1612483235091087569,ASK_DEPTH,[]
1612483235091087569,IMBALANCE,"[0, 0]"
1612483235111227476,BID_DEPTH,[]
1612483235111227476,ASK_DEPTH,[]
1612483235111227476,IMBALANCE,"[0, 0]"
1612483235117981879,BID_DEPTH,[]
1612483235117981879,ASK_DEPTH,[]
1612483235117981879,IMBALANCE,"[0, 0]"
1612483235157002547,BID_DEPTH,[]
1612483235157002547,ASK_DEPTH,[]
1612483235157002547,IMBALANCE,"[0, 0]"
1612483235161154560,BID_DEPTH,[]
1612483235161154560,ASK_DEPTH,[]
1612483235161154560,IMBALANCE,"[0, 0]"
1612483235188850590,BID_DEPTH,[]
1612483235188850590,ASK_DEPTH,[]
1612483235188850590,IMBALANCE,"[0, 0]"
1612483235192840633,BID_DEPTH,[]
1612483235192840633,ASK_DEPTH,[]
1612483235192840633,IMBALANCE,"[0, 0]"
1612483235215424421,BID_DEPTH,[]
1612483235215424421,ASK_DEPTH,[]
1612483235215424421,IMBALANCE,"[0, 0]"
1612483235229243700,BID_DEPTH,[]
1612483235229243700,ASK_DEPTH,[]
1612483235229243700,IMBALANCE,"[0, 0]"
1612483235236105643,BID_DEPTH,[]
1612483235236105643,ASK_DEPTH,[]
1612483235236105643,IMBALANCE,"[0, 0]"
1612483235262015051,BID_DEPTH,[]
1612483235262015051,ASK_DEPTH,[]
1612483235262015051,IMBALANCE,"[0, 0]"
1612483235268710195,BID_DEPTH,[]
1612483235268710195,ASK_DEPTH,[]
1612483235268710195,IMBALANCE,"[0, 0]"
1612483235392763780,BID_DEPTH,[]
1612483235392763780,ASK_DEPTH,[]
1612483235392763780,IMBALANCE,"[0, 0]"
1612483235399282324,BID_DEPTH,[]
1612483235399282324,ASK_DEPTH,[]
1612483235399282324,IMBALANCE,"[0, 0]"
1612483235405746118,BID_DEPTH,[]
1612483235405746118,ASK_DEPTH,[]
1612483235405746118,IMBALANCE,"[0, 0]"
1612483235408361214,BID_DEPTH,[]
1612483235408361214,ASK_DEPTH,[]
1612483235408361214,IMBALANCE,"[0, 0]"
1612483235434796779,BID_DEPTH,[]
1612483235434796779,ASK_DEPTH,[]
1612483235434796779,IMBALANCE,"[0, 0]"
1612483235494590184,BID_DEPTH,[]
1612483235494590184,ASK_DEPTH,[]
1612483235494590184,IMBALANCE,"[0, 0]"
1612483235537290869,BID_DEPTH,[]
1612483235537290869,ASK_DEPTH,[]
1612483235537290869,IMBALANCE,"[0, 0]"
1612483235541566701,BID_DEPTH,[]
1612483235541566701,ASK_DEPTH,[]
1612483235541566701,IMBALANCE,"[0, 0]"
1612483235544525917,BID_DEPTH,[]
1612483235544525917,ASK_DEPTH,[]
1612483235544525917,IMBALANCE,"[0, 0]"
1612483235618454058,BID_DEPTH,[]
1612483235618454058,ASK_DEPTH,[]
1612483235618454058,IMBALANCE,"[0, 0]"
1612483235647830473,BID_DEPTH,[]
1612483235647830473,ASK_DEPTH,[]
1612483235647830473,IMBALANCE,"[0, 0]"
1612483235668554085,BID_DEPTH,[]
1612483235668554085,ASK_DEPTH,[]
1612483235668554085,IMBALANCE,"[0, 0]"
1612483235780239182,BID_DEPTH,[]
1612483235780239182,ASK_DEPTH,[]
1612483235780239182,IMBALANCE,"[0, 0]"
1612483235855181433,BID_DEPTH,[]
1612483235855181433,ASK_DEPTH,[]
1612483235855181433,IMBALANCE,"[0, 0]"
1612483235881432480,BID_DEPTH,[]
1612483235881432480,ASK_DEPTH,[]
1612483235881432480,IMBALANCE,"[0, 0]"
1612483235924881920,BID_DEPTH,[]
1612483235924881920,ASK_DEPTH,[]
1612483235924881920,IMBALANCE,"[0, 0]"
1612483236000392470,FINAL_HOLDINGS,{ CASH: 10000000 }
1612483236000392470,FINAL_CASH_POSITION,10000000
1612483236000392470,MARKED_TO_MARKET,10000000
1612483236000392470,ENDING_CASH,10000000
