EventTime,EventType,Event
0,AGENT_TYPE,TrendFollowerAgent
0,STARTING_CASH,10000000
1612483200000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
1612483234207825174,BID_DEPTH,[]
1612483234207825174,ASK_DEPTH,[]
1612483234207825174,IMBALANCE,"[0, 0]"
1612483234237825174,BID_DEPTH,[]
1612483234237825174,ASK_DEPTH,[]
1612483234237825174,IMBALANCE,"[0, 0]"
1612483234237825224,BID_DEPTH,[]
1612483234237825224,ASK_DEPTH,[]
1612483234237825224,IMBALANCE,"[0, 0]"
1612483234267825174,BID_DEPTH,[]
1612483234267825174,ASK_DEPTH,[]
1612483234267825174,IMBALANCE,"[0, 0]"
1612483234267825224,BID_DEPTH,[]
1612483234267825224,ASK_DEPTH,[]
1612483234267825224,IMBALANCE,"[0, 0]"
1612483234297825174,BID_DEPTH,"[(100011, 400)]"
1612483234297825174,ASK_DEPTH,[]
1612483234297825174,IMBALANCE,"[400, 0]"
1612483234297825224,BID_DEPTH,"[(100011, 400)]"
1612483234297825224,ASK_DEPTH,[]
1612483234297825224,IMBALANCE,"[400, 0]"
1612483234327825174,BID_DEPTH,"[(100011, 100)]"
1612483234327825174,ASK_DEPTH,[]
1612483234327825174,IMBALANCE,"[100, 0]"
1612483234327825224,BID_DEPTH,"[(100011, 100)]"
1612483234327825224,ASK_DEPTH,[]
1612483234327825224,IMBALANCE,"[100, 0]"
1612483234357825174,BID_DEPTH,[]
1612483234357825174,ASK_DEPTH,"[(100011, 200)]"
1612483234357825174,IMBALANCE,"[0, 200]"
1612483234357825224,BID_DEPTH,[]
1612483234357825224,ASK_DEPTH,"[(100011, 200)]"
1612483234357825224,IMBALANCE,"[0, 200]"
1612483234387825174,BID_DEPTH,[]
1612483234387825174,ASK_DEPTH,"[(100011, 200)]"
1612483234387825174,IMBALANCE,"[0, 200]"
1612483234387825224,BID_DEPTH,[]
1612483234387825224,ASK_DEPTH,"[(100011, 200)]"
1612483234387825224,IMBALANCE,"[0, 200]"
1612483234417825174,BID_DEPTH,[]
