EventTime,EventType,Event
0.0,AGENT_TYPE,ValueAgent
0.0,STARTING_CASH,10000000
1.6124832e+18,HOLDINGS_UPDATED,{'CASH': 10000000}
1.6124832342845412e+18,BID_DEPTH,[]
1.6124832342845412e+18,ASK_DEPTH,[]
1.6124832342845412e+18,IMBALANCE,"[0, 0]"
1.6124832342845412e+18,ORDER_SUBMITTED,"{'agent_id': 1095, 'time_placed': '2021-02-05 00:00:34', 'symbol': 'ABM', 'quantity': 400, 'side': <Side.BID: 'BID'>, 'order_id': 0, 'fill_price': None, 'tag': None, 'limit_price': 100011, 'is_hidden': False, 'is_price_to_comply': False, 'insert_by_id': False, 'is_post_only': False}"
1.6124832342918948e+18,ORDER_ACCEPTED,"{'agent_id': 1095, 'time_placed': '2021-02-05 00:00:34', 'symbol': 'ABM', 'quantity': 400, 'side': <Side.BID: 'BID'>, 'order_id': 0, 'fill_price': None, 'tag': None, 'limit_price': 100011, 'is_hidden': False, 'is_price_to_comply': False, 'insert_by_id': False, 'is_post_only': False}"
1.6124832343113413e+18,ORDER_EXECUTED,"{'agent_id': 1095, 'time_placed': '2021-02-05 00:00:34', 'symbol': 'ABM', 'quantity': 100, 'side': <Side.BID: 'BID'>, 'order_id': 0, 'fill_price': 100011, 'tag': None, 'limit_price': 100011, 'is_hidden': False, 'is_price_to_comply': False, 'insert_by_id': False, 'is_post_only': False}"
1.6124832343113413e+18,HOLDINGS_UPDATED,"{'CASH': -1100, 'ABM': 100}"
1.612483234312184e+18,ORDER_EXECUTED,"{'agent_id': 1095, 'time_placed': '2021-02-05 00:00:34', 'symbol': 'ABM', 'quantity': 100, 'side': <Side.BID: 'BID'>, 'order_id': 0, 'fill_price': 100011, 'tag': None, 'limit_price': 100011, 'is_hidden': False, 'is_price_to_comply': False, 'insert_by_id': False, 'is_post_only': False}"
1.612483234312184e+18,HOLDINGS_UPDATED,"{'CASH': -10002200, 'ABM': 200}"
1.612483234314811e+18,ORDER_EXECUTED,"{'agent_id': 1095, 'time_placed': '2021-02-05 00:00:34', 'symbol': 'ABM', 'quantity': 100, 'side': <Side.BID: 'BID'>, 'order_id': 0, 'fill_price': 100011, 'tag': None, 'limit_price': 100011, 'is_hidden': False, 'is_price_to_comply': False, 'insert_by_id': False, 'is_post_only': False}"
1.612483234314811e+18,HOLDINGS_UPDATED,"{'CASH': -20003300, 'ABM': 300}"
1.6124832343484006e+18,ORDER_EXECUTED,"{'agent_id': 1095, 'time_placed': '2021-02-05 00:00:34', 'symbol': 'ABM', 'quantity': 100, 'side': <Side.BID: 'BID'>, 'order_id': 0, 'fill_price': 100011, 'tag': None, 'limit_price': 100011, 'is_hidden': False, 'is_price_to_comply': False, 'insert_by_id': False, 'is_post_only': False}"
1.6124832343484006e+18,HOLDINGS_UPDATED,"{'CASH': -30004400, 'ABM': 400}"
1.6124832343484006e+18,FINAL_HOLDINGS,"{ ABM: 400, CASH: -30004400 }"
1.6124832343484006e+18,FINAL_CASH_POSITION,-30004400
1.6124832343484006e+18,MARK_TO_MARKET,400 ABM @ 100000 == 40000000
1.6124832343484006e+18,MARKED_TO_MARKET,9995600
1.6124832343484006e+18,ENDING_CASH,9995600
1.6124832343484006e+18,FINAL_VALUATION,-3.9604412
